case_id,seed,split,split_ordinal,generator_condition,split_schema_version
synthetic3d-100706,100706,train,134,primary,1.0
synthetic3d-106920,106920,train,135,primary,1.0
synthetic3d-104641,104641,train,136,primary,1.0
synthetic3d-104050,104050,train,137,primary,1.0
synthetic3d-102498,102498,train,138,primary,1.0
synthetic3d-107629,107629,train,139,primary,1.0
synthetic3d-106589,106589,train,140,primary,1.0
synthetic3d-105222,105222,train,141,primary,1.0
synthetic3d-105597,105597,train,142,primary,1.0
synthetic3d-107429,107429,train,143,primary,1.0
synthetic3d-103937,103937,train,144,primary,1.0
synthetic3d-107980,107980,train,145,primary,1.0
synthetic3d-101177,101177,train,146,primary,1.0
synthetic3d-102820,102820,train,147,primary,1.0
synthetic3d-101556,101556,train,148,primary,1.0
synthetic3d-107311,107311,train,149,primary,1.0
synthetic3d-102012,102012,train,150,primary,1.0
synthetic3d-103429,103429,train,151,primary,1.0
synthetic3d-107170,107170,train,152,primary,1.0
synthetic3d-104572,104572,train,153,primary,1.0
synthetic3d-104048,104048,train,154,primary,1.0
synthetic3d-108046,108046,train,155,primary,1.0
synthetic3d-100540,100540,train,156,primary,1.0
synthetic3d-106730,106730,train,157,primary,1.0
synthetic3d-104304,104304,train,158,primary,1.0
synthetic3d-108761,108761,train,159,primary,1.0
synthetic3d-103350,103350,train,160,primary,1.0
synthetic3d-102216,102216,train,161,primary,1.0
synthetic3d-103072,103072,train,162,primary,1.0
synthetic3d-108992,108992,train,163,primary,1.0
synthetic3d-104907,104907,train,164,primary,1.0
synthetic3d-104891,104891,train,165,primary,1.0
synthetic3d-108294,108294,train,166,primary,1.0
synthetic3d-105805,105805,train,167,primary,1.0
synthetic3d-101545,101545,train,168,primary,1.0
synthetic3d-105360,105360,train,169,primary,1.0
synthetic3d-106362,106362,train,170,primary,1.0
synthetic3d-107999,107999,train,171,primary,1.0
synthetic3d-105140,105140,train,172,primary,1.0
synthetic3d-104205,104205,train,173,primary,1.0
synthetic3d-107072,107072,train,174,primary,1.0
synthetic3d-102003,102003,train,175,primary,1.0
synthetic3d-106012,106012,train,176,primary,1.0
synthetic3d-100200,100200,train,177,primary,1.0
synthetic3d-102787,102787,train,178,primary,1.0
synthetic3d-103207,103207,train,179,primary,1.0
synthetic3d-107601,107601,train,180,primary,1.0
synthetic3d-103187,103187,train,181,primary,1.0
synthetic3d-107476,107476,train,182,primary,1.0
synthetic3d-102782,102782,train,183,primary,1.0
synthetic3d-104391,104391,train,184,primary,1.0
synthetic3d-102639,102639,train,185,primary,1.0
synthetic3d-102332,102332,train,186,primary,1.0
synthetic3d-107817,107817,train,187,primary,1.0
synthetic3d-107600,107600,train,188,primary,1.0
synthetic3d-102909,102909,train,189,primary,1.0
synthetic3d-106145,106145,train,190,primary,1.0
synthetic3d-103318,103318,train,191,primary,1.0
synthetic3d-103282,103282,train,192,primary,1.0
synthetic3d-101410,101410,train,193,primary,1.0
synthetic3d-100153,100153,train,194,primary,1.0
synthetic3d-104197,104197,train,195,primary,1.0
synthetic3d-108444,108444,train,196,primary,1.0
synthetic3d-106974,106974,train,197,primary,1.0
synthetic3d-104918,104918,train,198,primary,1.0
synthetic3d-106303,106303,train,199,primary,1.0
synthetic3d-104772,104772,train,200,primary,1.0
synthetic3d-106270,106270,train,201,primary,1.0
synthetic3d-105803,105803,train,202,primary,1.0
synthetic3d-103810,103810,train,203,primary,1.0
synthetic3d-103891,103891,train,204,primary,1.0
synthetic3d-103938,103938,train,205,primary,1.0
synthetic3d-106818,106818,train,206,primary,1.0
synthetic3d-103179,103179,train,207,primary,1.0
synthetic3d-106581,106581,train,208,primary,1.0
synthetic3d-103583,103583,train,209,primary,1.0
synthetic3d-102644,102644,train,210,primary,1.0
synthetic3d-104175,104175,train,211,primary,1.0
synthetic3d-100526,100526,train,212,primary,1.0
synthetic3d-104660,104660,train,213,primary,1.0
synthetic3d-102092,102092,train,214,primary,1.0
synthetic3d-101599,101599,train,215,primary,1.0
synthetic3d-106939,106939,train,216,primary,1.0
synthetic3d-104071,104071,train,217,primary,1.0
synthetic3d-105846,105846,train,218,primary,1.0
synthetic3d-105344,105344,train,219,primary,1.0
synthetic3d-105285,105285,train,220,primary,1.0
synthetic3d-104648,104648,train,221,primary,1.0
synthetic3d-100388,100388,train,222,primary,1.0
synthetic3d-108416,108416,train,223,primary,1.0
synthetic3d-103916,103916,train,224,primary,1.0
synthetic3d-106499,106499,train,225,primary,1.0
synthetic3d-105665,105665,train,226,primary,1.0
synthetic3d-108651,108651,train,227,primary,1.0
synthetic3d-103540,103540,train,228,primary,1.0
synthetic3d-100617,100617,train,229,primary,1.0
synthetic3d-102834,102834,train,230,primary,1.0
synthetic3d-100088,100088,train,231,primary,1.0
synthetic3d-107065,107065,train,232,primary,1.0
synthetic3d-100717,100717,train,233,primary,1.0
synthetic3d-107624,107624,train,234,primary,1.0
synthetic3d-102739,102739,train,235,primary,1.0
synthetic3d-108107,108107,train,236,primary,1.0
synthetic3d-106937,106937,train,237,primary,1.0
synthetic3d-101041,101041,train,238,primary,1.0
synthetic3d-101634,101634,train,239,primary,1.0
synthetic3d-103214,103214,train,240,primary,1.0
synthetic3d-107671,107671,train,241,primary,1.0
synthetic3d-106452,106452,train,242,primary,1.0
synthetic3d-104087,104087,train,243,primary,1.0
synthetic3d-100393,100393,train,244,primary,1.0
synthetic3d-100296,100296,train,245,primary,1.0
synthetic3d-102878,102878,train,246,primary,1.0
synthetic3d-108918,108918,train,247,primary,1.0
synthetic3d-106722,106722,train,248,primary,1.0
synthetic3d-107268,107268,train,249,primary,1.0
synthetic3d-108392,108392,train,250,primary,1.0
synthetic3d-103558,103558,train,251,primary,1.0
synthetic3d-100844,100844,train,252,primary,1.0
synthetic3d-107863,107863,train,253,primary,1.0
synthetic3d-100214,100214,train,254,primary,1.0
synthetic3d-106632,106632,train,255,primary,1.0
synthetic3d-101143,101143,train,256,primary,1.0
synthetic3d-100875,100875,train,257,primary,1.0
synthetic3d-105874,105874,train,258,primary,1.0
synthetic3d-105446,105446,train,259,primary,1.0
synthetic3d-101200,101200,train,260,primary,1.0
synthetic3d-106467,106467,train,261,primary,1.0
synthetic3d-106028,106028,train,262,primary,1.0
synthetic3d-101649,101649,train,263,primary,1.0
synthetic3d-103261,103261,train,264,primary,1.0
synthetic3d-107585,107585,train,265,primary,1.0
synthetic3d-101431,101431,train,266,primary,1.0
synthetic3d-103982,103982,train,267,primary,1.0
synthetic3d-101004,101004,train,268,primary,1.0
synthetic3d-108881,108881,train,269,primary,1.0
synthetic3d-101867,101867,train,270,primary,1.0
synthetic3d-108261,108261,train,271,primary,1.0
synthetic3d-101816,101816,train,272,primary,1.0
synthetic3d-108186,108186,train,273,primary,1.0
synthetic3d-100737,100737,train,274,primary,1.0
synthetic3d-106573,106573,train,275,primary,1.0
synthetic3d-100225,100225,train,276,primary,1.0
synthetic3d-103221,103221,train,277,primary,1.0
synthetic3d-105128,105128,train,278,primary,1.0
synthetic3d-107503,107503,train,279,primary,1.0
synthetic3d-106387,106387,train,280,primary,1.0
synthetic3d-104081,104081,train,281,primary,1.0
synthetic3d-103579,103579,train,282,primary,1.0
synthetic3d-105736,105736,train,283,primary,1.0
synthetic3d-106833,106833,train,284,primary,1.0
synthetic3d-100642,100642,train,285,primary,1.0
synthetic3d-101038,101038,train,286,primary,1.0
synthetic3d-107753,107753,train,287,primary,1.0
synthetic3d-103213,103213,train,288,primary,1.0
synthetic3d-102921,102921,train,289,primary,1.0
synthetic3d-101384,101384,train,290,primary,1.0
synthetic3d-101221,101221,train,291,primary,1.0
synthetic3d-104322,104322,train,292,primary,1.0
synthetic3d-100374,100374,train,293,primary,1.0
synthetic3d-103386,103386,train,294,primary,1.0
synthetic3d-103140,103140,train,295,primary,1.0
synthetic3d-101721,101721,train,296,primary,1.0
synthetic3d-105387,105387,train,297,primary,1.0
synthetic3d-104469,104469,train,298,primary,1.0
synthetic3d-107639,107639,train,299,primary,1.0
synthetic3d-103050,103050,train,300,primary,1.0
synthetic3d-100753,100753,train,301,primary,1.0
synthetic3d-106609,106609,train,302,primary,1.0
synthetic3d-105649,105649,train,303,primary,1.0
synthetic3d-106954,106954,train,304,primary,1.0
synthetic3d-105245,105245,train,305,primary,1.0
synthetic3d-103886,103886,train,306,primary,1.0
synthetic3d-100000,100000,train,307,primary,1.0
synthetic3d-103399,103399,train,308,primary,1.0
synthetic3d-105391,105391,train,309,primary,1.0
synthetic3d-100336,100336,train,310,primary,1.0
synthetic3d-102669,102669,train,311,primary,1.0
synthetic3d-106163,106163,train,312,primary,1.0
synthetic3d-108481,108481,train,313,primary,1.0
synthetic3d-104239,104239,train,314,primary,1.0
synthetic3d-100659,100659,train,315,primary,1.0
synthetic3d-105462,105462,train,316,primary,1.0
synthetic3d-108212,108212,train,317,primary,1.0
synthetic3d-103501,103501,train,318,primary,1.0
synthetic3d-101836,101836,train,319,primary,1.0
synthetic3d-107962,107962,train,320,primary,1.0
synthetic3d-107448,107448,train,321,primary,1.0
synthetic3d-108541,108541,train,322,primary,1.0
synthetic3d-100767,100767,train,323,primary,1.0
synthetic3d-100927,100927,train,324,primary,1.0
synthetic3d-106489,106489,train,325,primary,1.0
synthetic3d-100520,100520,train,326,primary,1.0
synthetic3d-108343,108343,train,327,primary,1.0
synthetic3d-104882,104882,train,328,primary,1.0
synthetic3d-108754,108754,train,329,primary,1.0
synthetic3d-106065,106065,train,330,primary,1.0
synthetic3d-100325,100325,train,331,primary,1.0
synthetic3d-100624,100624,train,332,primary,1.0
synthetic3d-101744,101744,train,333,primary,1.0
synthetic3d-105042,105042,train,334,primary,1.0
synthetic3d-107670,107670,train,335,primary,1.0
synthetic3d-105606,105606,train,336,primary,1.0
synthetic3d-105998,105998,train,337,primary,1.0
synthetic3d-105576,105576,train,338,primary,1.0
synthetic3d-100246,100246,train,339,primary,1.0
synthetic3d-104315,104315,train,340,primary,1.0
synthetic3d-107645,107645,train,341,primary,1.0
synthetic3d-101714,101714,train,342,primary,1.0
synthetic3d-107562,107562,train,343,primary,1.0
synthetic3d-104268,104268,train,344,primary,1.0
synthetic3d-106090,106090,train,345,primary,1.0
synthetic3d-104326,104326,train,346,primary,1.0
synthetic3d-101284,101284,train,347,primary,1.0
synthetic3d-100074,100074,train,348,primary,1.0
synthetic3d-106723,106723,train,349,primary,1.0
synthetic3d-100202,100202,train,350,primary,1.0
synthetic3d-105915,105915,train,351,primary,1.0
synthetic3d-104873,104873,train,352,primary,1.0
synthetic3d-104812,104812,train,353,primary,1.0
synthetic3d-103521,103521,train,354,primary,1.0
synthetic3d-108979,108979,train,355,primary,1.0
synthetic3d-103193,103193,train,356,primary,1.0
synthetic3d-107499,107499,train,357,primary,1.0
synthetic3d-105496,105496,train,358,primary,1.0
synthetic3d-103704,103704,train,359,primary,1.0
synthetic3d-104669,104669,train,360,primary,1.0
synthetic3d-105772,105772,train,361,primary,1.0
synthetic3d-108235,108235,train,362,primary,1.0
synthetic3d-102626,102626,train,363,primary,1.0
synthetic3d-101430,101430,train,364,primary,1.0
synthetic3d-102168,102168,train,365,primary,1.0
synthetic3d-108118,108118,train,366,primary,1.0
synthetic3d-101808,101808,train,367,primary,1.0
synthetic3d-107371,107371,train,368,primary,1.0
synthetic3d-105983,105983,train,369,primary,1.0
synthetic3d-103514,103514,train,370,primary,1.0
synthetic3d-105757,105757,train,371,primary,1.0
synthetic3d-102461,102461,train,372,primary,1.0
synthetic3d-102179,102179,train,373,primary,1.0
synthetic3d-103645,103645,train,374,primary,1.0
synthetic3d-106442,106442,train,375,primary,1.0
synthetic3d-101530,101530,train,376,primary,1.0
synthetic3d-102586,102586,train,377,primary,1.0
synthetic3d-103921,103921,train,378,primary,1.0
synthetic3d-103758,103758,train,379,primary,1.0
synthetic3d-104941,104941,train,380,primary,1.0
synthetic3d-101544,101544,train,381,primary,1.0
synthetic3d-106011,106011,train,382,primary,1.0
synthetic3d-102257,102257,train,383,primary,1.0
synthetic3d-101676,101676,train,384,primary,1.0
synthetic3d-100363,100363,train,385,primary,1.0
synthetic3d-100164,100164,train,386,primary,1.0
synthetic3d-105574,105574,train,387,primary,1.0
synthetic3d-100855,100855,train,388,primary,1.0
synthetic3d-103012,103012,train,389,primary,1.0
synthetic3d-105166,105166,train,390,primary,1.0
synthetic3d-102810,102810,train,391,primary,1.0
synthetic3d-102394,102394,train,392,primary,1.0
synthetic3d-101389,101389,train,393,primary,1.0
synthetic3d-105506,105506,train,394,primary,1.0
synthetic3d-107767,107767,train,395,primary,1.0
synthetic3d-106733,106733,train,396,primary,1.0
synthetic3d-108659,108659,train,397,primary,1.0
synthetic3d-106830,106830,train,398,primary,1.0
synthetic3d-102011,102011,train,399,primary,1.0
synthetic3d-100099,100099,train,400,primary,1.0
synthetic3d-100478,100478,train,401,primary,1.0
synthetic3d-101928,101928,train,402,primary,1.0
synthetic3d-107200,107200,train,403,primary,1.0
synthetic3d-104311,104311,train,404,primary,1.0
synthetic3d-100265,100265,train,405,primary,1.0
synthetic3d-104388,104388,train,406,primary,1.0
synthetic3d-102120,102120,train,407,primary,1.0
synthetic3d-104147,104147,train,408,primary,1.0
synthetic3d-103440,103440,train,409,primary,1.0
synthetic3d-101354,101354,train,410,primary,1.0
synthetic3d-102284,102284,train,411,primary,1.0
synthetic3d-102006,102006,train,412,primary,1.0
synthetic3d-103682,103682,train,413,primary,1.0
synthetic3d-103387,103387,train,414,primary,1.0
synthetic3d-107359,107359,train,415,primary,1.0
synthetic3d-105144,105144,train,416,primary,1.0
synthetic3d-104761,104761,train,417,primary,1.0
synthetic3d-101930,101930,train,418,primary,1.0
synthetic3d-108436,108436,train,419,primary,1.0
synthetic3d-107619,107619,train,420,primary,1.0
synthetic3d-102014,102014,train,421,primary,1.0
synthetic3d-106030,106030,train,422,primary,1.0
synthetic3d-107140,107140,train,423,primary,1.0
synthetic3d-105962,105962,train,424,primary,1.0
synthetic3d-103075,103075,train,425,primary,1.0
synthetic3d-104587,104587,train,426,primary,1.0
synthetic3d-108503,108503,train,427,primary,1.0
synthetic3d-102458,102458,train,428,primary,1.0
synthetic3d-103643,103643,train,429,primary,1.0
synthetic3d-106518,106518,train,430,primary,1.0
synthetic3d-108985,108985,train,431,primary,1.0
synthetic3d-108253,108253,train,432,primary,1.0
synthetic3d-101249,101249,train,433,primary,1.0
synthetic3d-107292,107292,train,434,primary,1.0
synthetic3d-103536,103536,train,435,primary,1.0
synthetic3d-103737,103737,train,436,primary,1.0
synthetic3d-103349,103349,train,437,primary,1.0
synthetic3d-106470,106470,train,438,primary,1.0
synthetic3d-103223,103223,train,439,primary,1.0
synthetic3d-103358,103358,train,440,primary,1.0
synthetic3d-100572,100572,train,441,primary,1.0
synthetic3d-102845,102845,train,442,primary,1.0
synthetic3d-100881,100881,train,443,primary,1.0
synthetic3d-101849,101849,train,444,primary,1.0
synthetic3d-107049,107049,train,445,primary,1.0
synthetic3d-101601,101601,train,446,primary,1.0
synthetic3d-104611,104611,train,447,primary,1.0
synthetic3d-107280,107280,train,448,primary,1.0
synthetic3d-108965,108965,train,449,primary,1.0
synthetic3d-101386,101386,train,450,primary,1.0
synthetic3d-100170,100170,train,451,primary,1.0
synthetic3d-108159,108159,train,452,primary,1.0
synthetic3d-102658,102658,train,453,primary,1.0
synthetic3d-104134,104134,train,454,primary,1.0
synthetic3d-104883,104883,train,455,primary,1.0
synthetic3d-108944,108944,train,456,primary,1.0
synthetic3d-107518,107518,train,457,primary,1.0
synthetic3d-104353,104353,train,458,primary,1.0
synthetic3d-102437,102437,train,459,primary,1.0
synthetic3d-101331,101331,train,460,primary,1.0
synthetic3d-105277,105277,train,461,primary,1.0
synthetic3d-104490,104490,train,462,primary,1.0
synthetic3d-108226,108226,train,463,primary,1.0
synthetic3d-102898,102898,train,464,primary,1.0
synthetic3d-108023,108023,train,465,primary,1.0
synthetic3d-102298,102298,train,466,primary,1.0
synthetic3d-100207,100207,train,467,primary,1.0
synthetic3d-108248,108248,train,468,primary,1.0
synthetic3d-102571,102571,train,469,primary,1.0
synthetic3d-107090,107090,train,470,primary,1.0
synthetic3d-100835,100835,train,471,primary,1.0
synthetic3d-106912,106912,train,472,primary,1.0
synthetic3d-107273,107273,train,473,primary,1.0
synthetic3d-106404,106404,train,474,primary,1.0
synthetic3d-104238,104238,train,475,primary,1.0
synthetic3d-108063,108063,train,476,primary,1.0
synthetic3d-100562,100562,train,477,primary,1.0
synthetic3d-107801,107801,train,478,primary,1.0
synthetic3d-107504,107504,train,479,primary,1.0
synthetic3d-106982,106982,train,480,primary,1.0
synthetic3d-103225,103225,train,481,primary,1.0
synthetic3d-108667,108667,train,482,primary,1.0
synthetic3d-107203,107203,train,483,primary,1.0
synthetic3d-106770,106770,train,484,primary,1.0
synthetic3d-105449,105449,train,485,primary,1.0
synthetic3d-105403,105403,train,486,primary,1.0
synthetic3d-100365,100365,train,487,primary,1.0
synthetic3d-108735,108735,train,488,primary,1.0
synthetic3d-100708,100708,train,489,primary,1.0
synthetic3d-103457,103457,train,490,primary,1.0
synthetic3d-101705,101705,train,491,primary,1.0
synthetic3d-105891,105891,train,492,primary,1.0
synthetic3d-107315,107315,train,493,primary,1.0
synthetic3d-104309,104309,train,494,primary,1.0
synthetic3d-100459,100459,train,495,primary,1.0
synthetic3d-100506,100506,train,496,primary,1.0
synthetic3d-100961,100961,train,497,primary,1.0
synthetic3d-108422,108422,train,498,primary,1.0
synthetic3d-108127,108127,train,499,primary,1.0
synthetic3d-105426,105426,train,500,primary,1.0
synthetic3d-104493,104493,train,501,primary,1.0
synthetic3d-103944,103944,train,502,primary,1.0
synthetic3d-107124,107124,train,503,primary,1.0
synthetic3d-104360,104360,train,504,primary,1.0
synthetic3d-100250,100250,train,505,primary,1.0
synthetic3d-105730,105730,train,506,primary,1.0
synthetic3d-103795,103795,train,507,primary,1.0
synthetic3d-105269,105269,train,508,primary,1.0
synthetic3d-103162,103162,train,509,primary,1.0
synthetic3d-108736,108736,train,510,primary,1.0
synthetic3d-107416,107416,train,511,primary,1.0
synthetic3d-107129,107129,train,512,primary,1.0
synthetic3d-102251,102251,train,513,primary,1.0
synthetic3d-106178,106178,train,514,primary,1.0
synthetic3d-101646,101646,train,515,primary,1.0
synthetic3d-102196,102196,train,516,primary,1.0
synthetic3d-102165,102165,train,517,primary,1.0
synthetic3d-102513,102513,train,518,primary,1.0
synthetic3d-102310,102310,train,519,primary,1.0
synthetic3d-107318,107318,train,520,primary,1.0
synthetic3d-104750,104750,train,521,primary,1.0
synthetic3d-103011,103011,train,522,primary,1.0
synthetic3d-100505,100505,train,523,primary,1.0
synthetic3d-103708,103708,train,524,primary,1.0
synthetic3d-106307,106307,train,525,primary,1.0
synthetic3d-101376,101376,train,526,primary,1.0
synthetic3d-100731,100731,train,527,primary,1.0
synthetic3d-101617,101617,train,528,primary,1.0
synthetic3d-101655,101655,train,529,primary,1.0
synthetic3d-104909,104909,train,530,primary,1.0
synthetic3d-100610,100610,train,531,primary,1.0
synthetic3d-107768,107768,train,532,primary,1.0
synthetic3d-107163,107163,train,533,primary,1.0
synthetic3d-107230,107230,train,534,primary,1.0
synthetic3d-107374,107374,train,535,primary,1.0
synthetic3d-100564,100564,train,536,primary,1.0
synthetic3d-105340,105340,train,537,primary,1.0
synthetic3d-107551,107551,train,538,primary,1.0
synthetic3d-105658,105658,train,539,primary,1.0
synthetic3d-104289,104289,train,540,primary,1.0
synthetic3d-108324,108324,train,541,primary,1.0
synthetic3d-101911,101911,train,542,primary,1.0
synthetic3d-105811,105811,train,543,primary,1.0
synthetic3d-101947,101947,train,544,primary,1.0
synthetic3d-102070,102070,train,545,primary,1.0
synthetic3d-106614,106614,train,546,primary,1.0
synthetic3d-107656,107656,train,547,primary,1.0
synthetic3d-104495,104495,train,548,primary,1.0
synthetic3d-104729,104729,train,549,primary,1.0
synthetic3d-108149,108149,train,550,primary,1.0
synthetic3d-106754,106754,train,551,primary,1.0
synthetic3d-102841,102841,train,552,primary,1.0
synthetic3d-100238,100238,train,553,primary,1.0
synthetic3d-107603,107603,train,554,primary,1.0
synthetic3d-103265,103265,train,555,primary,1.0
synthetic3d-103566,103566,train,556,primary,1.0
synthetic3d-105927,105927,train,557,primary,1.0
synthetic3d-108905,108905,train,558,primary,1.0
synthetic3d-107675,107675,train,559,primary,1.0
synthetic3d-105815,105815,train,560,primary,1.0
synthetic3d-106876,106876,train,561,primary,1.0
synthetic3d-107442,107442,train,562,primary,1.0
synthetic3d-108271,108271,train,563,primary,1.0
synthetic3d-106020,106020,train,564,primary,1.0
synthetic3d-105607,105607,train,565,primary,1.0
synthetic3d-102742,102742,train,566,primary,1.0
synthetic3d-102741,102741,train,567,primary,1.0
synthetic3d-107032,107032,train,568,primary,1.0
synthetic3d-105555,105555,train,569,primary,1.0
synthetic3d-106599,106599,train,570,primary,1.0
synthetic3d-105289,105289,train,571,primary,1.0
synthetic3d-100001,100001,train,572,primary,1.0
synthetic3d-103809,103809,train,573,primary,1.0
synthetic3d-105072,105072,train,574,primary,1.0
synthetic3d-105777,105777,train,575,primary,1.0
synthetic3d-103360,103360,train,576,primary,1.0
synthetic3d-108953,108953,train,577,primary,1.0
synthetic3d-106433,106433,train,578,primary,1.0
synthetic3d-100150,100150,train,579,primary,1.0
